#,filename,width,height,vspeed,Vertical/Horizontal,Size Stellarmap,
bg,Assets/2D/Backgrounds/BGVertical_1.png,1080,5400,75,V,1,
#,enemies_name,proba,enemy_class,Level,spawnCost,repeatChance,MissChance
enemy,V_Alpha2,1,1,6,3,0.30f,0.30f
enemy,V_Alpha3,1,1,6,,,
enemy,V_Sigma2,1,2,6,12,0.30f,0.30f
enemy,V_Sigma3,1,2,6,,,
enemy,V_Beta2,1,3,6,10,0.30f,0.30f
enemy,V_Beta3,1,3,6,,,
enemy,V_Gamma1,1,4,6,8,0.30f,0.30f
enemy,V_Gamma2,1,4,6,,,
enemy,V_Delta,1,5,6,8,0.30f,0.30f
#,name,enemy_class,spawnX,spawnY,Level,,
boss,Katyusha,4,900,120,7,,
boss,Itsukhoi,5,1000,50,6,,
boss,Hatsuki,5,1000,190,6,,
